CZ,Horizon,InputHist,InputMete,InputNWP,InputST,ModClass,Reference,ResMin,SS,TestLength,TrainLength,Type,Year
C,1440,1,0,0,0,TS,Persistence,60,20,365,0,PV,2018
C,180,1,1,0,0,Reg,SP,60,4.769,350,700,Sources,2015
B,60,1,1,0,0,Reg,Persistence,60,45.2,365,0,Sources,2018
C,300,1,0,0,0,ML,Persistence,60,45.9196378041879,219,876,Sources,2018
D,1440,1,1,1,0,NWP,Persistence,60,47.13,731,0,Sources,2019
D,60,1,0,0,0,ML,Persistence,60,21.32,31,730,Sources,2019
C,1440,1,0,0,0,ImageBased,Persistence,60,24,365,0,PV,2018
A,3600,1,0,0,0,TS,SP,60,28.44,335,30,PV,2016
C,60,1,1,0,1,ML,SP,60,39.2160472580865,90,1460,Sources,2021
A,120,1,0,0,0,TS,Persistence,2,15.18,335,30,PV,2016
C,720,1,1,1,0,ImageBased,PerClim,15,33.1,365,0,PV,2021
D,1440,1,1,1,1,ML,SP,15,42.8,365,365,PV,2017
D,2880,0,1,1,0,Hybrid,SP,60,29.8076923076923,365,365,Sources,2015
C,2880,0,1,1,0,ImageBased,SP,60,34.5238095238095,365,0,Sources,2015
D,1440,1,1,1,0,NWP,Persistence,60,45.01,731,0,Sources,2019
B,60,1,0,0,0,Reg,SP,60,11.6552901023891,365,1095,Sources,2022
B,240,1,1,0,1,ML,SP,60,19.2520775623269,183,548,Sources,2015
C,90,1,0,0,0,ML,SP,5,15.6,91,183,Sources,2015
C,180,0,0,0,0,ImageBased,SP,60,22.5,365,1675,Sources,2018
C,2880,1,0,0,1,Ens,Persistence,60,17,184,181,PV,2018
D,60,1,0,0,0,ML,SP,60,79.38,31,2920,Sources,2016
C,1440,1,0,0,0,TS,Persistence,60,14,365,0,PV,2018
C,360,1,1,1,0,Ens,SP,15,16.72,730,730,Sources,2020
C,720,1,1,0,0,ML,SP,60,45.73,120,5114,Sources,2020
C,30,1,0,0,0,ImageBased,Persistence,5,20,165,231,Sources,2019
C,2880,1,0,1,1,TS,Persistence,60,20.8,365,365,PV,2019
C,60,1,0,0,0,TS,Persistence,60,29.9682229283794,219,876,Sources,2018
D,40,0,0,0,0,ImageBased,SP,10,28.89,731,1096,Sources,2022
C,1,1,0,0,0,ImageBased,Persistence,1,7.77464788732395,18,72,PV,2018
C,60,1,1,0,0,ML,SP,60,16.34,365,5114,Sources,2020
C,300,1,0,0,0,TS,Persistence,60,44.3576683644595,219,876,Sources,2018
C,360,1,0,0,0,ImageBased,SP,60,70.7,180,180,PV,2018
D,10,1,1,0,0,ML,SP,10,1.97,731,1096,Sources,2020
A,60,1,1,0,0,Ens,Persistence,60,20,365,183,Sources,2019
B,60,1,1,0,0,ML,SP,60,38.12,219,876,Sources,2018
C,1020,1,1,1,1,TS,Persistence,60,65,90,180,Sources,2021
C,120,1,1,0,0,ML,SP,60,23.73,122,5114,Sources,2020
D,1440,1,1,1,0,ML,Persistence,60,40,1460,365,PV,2016
C,1440,1,0,1,0,NWP,Persistence,60,37.56,731,0,Sources,2019
C,180,1,1,0,0,ML,SP,60,13.35,365,366,Sources,2015
C,20,1,0,0,0,ImageBased,SP,5,25.1,109.770833333333,154.1875,Sources,2018
A,10,1,0,0,1,TS,Persistence,10,10.395537525355,365,365,Sources,2016
C,60,1,0,0,0,ImageBased,SP,60,35,180,180,PV,2018
D,60,0,1,0,0,ImageBased,SP,15,15.1,123,0,Sources,2020
B,60,1,1,0,0,Reg,SP,60,1.78,350,700,Sources,2015
C,60,1,1,0,1,Reg,SP,60,3.096,350,700,Sources,2015
A,10,1,0,0,1,TS,Persistence,10,8.81670533642692,365,365,Sources,2016
A,60,1,0,0,0,ML,Persistence,60,9.61,365,365,Sources,2016
C,120,1,1,0,0,ML,SP,60,35.21,365,5114,Sources,2020
E,60,1,1,0,0,TS,Persistence,60,4,365,183,Sources,2019
B,1440,1,1,1,0,NWP,Persistence,60,36.02,731,0,Sources,2019
C,60,1,1,0,0,ML,SP,60,16.1249758173728,730,2922,Sources,2021
C,1440,1,1,1,0,ML,Persistence,60,43.6724565756824,365,395,PV,2018
C,120,0,0,0,0,ImageBased,SP,60,18.8,365,1675,Sources,2018
N,120,1,1,0,1,Reg,SP,60,30.884,350,700,Sources,2015
D,60,1,0,0,0,Reg,Persistence,60,-88.7959768434595,731,730,Sources,2019
C,720,1,1,1,0,ImageBased,PerClim,15,32.9,365,0,PV,2021
C,120,1,1,0,0,TS,SP,60,3.55,365,366,Sources,2015
B,60,1,1,0,0,Hybrid,PerClim,60,38.05,366,1095,Sources,2021
B,60,1,1,0,0,TS,Persistence,60,9,365,183,Sources,2019
B,180,1,0,0,0,Reg,Persistence,60,81.6071428571429,365,1095,Sources,2022
C,2880,1,0,1,1,Ens_Hyb,Persistence,60,31,184,181,PV,2018
B,15,1,0,0,0,ML,Persistence,15,-31.2,183,365,Sources,2017
C,180,1,0,0,0,Reg,SP,60,17.7987778883047,365,730,Sources,2022
B,180,1,1,0,0,ML,SP,60,16.332,350,700,Sources,2015
N,120,1,1,0,1,Reg,SP,60,26.39,350,700,Sources,2015
